M_CD,UP_TIIME,POWER,TEMP,POWER_DIFF,TEMP_DIFF,POWER_5MAVG,TEMP_5MAVG,ERR_CD_5FUTURE
"1000",0,948,250,0,0,0.000000,0.000000,"0"
"1000",1,945,250,-3,0,0.000000,0.000000,"0"
"1000",2,944,250,-1,0,0.000000,0.000000,"0"
"1000",3,943,250,-1,0,0.000000,0.000000,"0"
"1000",4,940,250,-3,0,-1.600000,0.000000,"0"
"1000",5,938,250,-2,0,-2.000000,0.000000,"0"
"1000",6,936,250,-2,0,-1.800000,0.000000,"0"
"1000",7,936,250,0,0,-1.600000,0.000000,"0"
"1000",8,935,251,-1,1,-1.600000,0.200000,"0"
"1000",9,934,251,-1,0,-1.200000,0.200000,"0"
"1000",10,934,251,0,0,-0.800000,0.200000,"0"
"1000",11,934,251,0,0,-0.400000,0.200000,"0"
"1000",12,934,250,0,-1,-0.400000,0.000000,"0"
"1000",13,934,250,0,0,-0.200000,-0.200000,"0"
"1000",14,933,250,-1,0,-0.200000,-0.200000,"0"
"1000",15,932,251,-1,1,-0.400000,0.000000,"0"
"1000",16,932,250,0,-1,-0.400000,-0.200000,"0"
"1000",17,931,251,-1,1,-0.600000,0.200000,"0"
"1000",18,931,251,0,0,-0.600000,0.200000,"0"
"1000",19,931,250,0,-1,-0.400000,0.000000,"0"
"1000",20,931,250,0,0,-0.200000,-0.200000,"0"
"1000",21,930,250,-1,0,-0.400000,0.000000,"0"
"1000",22,930,250,0,0,-0.200000,-0.200000,"0"
"1000",23,929,251,-1,1,-0.400000,0.000000,"0"
"1000",24,929,250,0,-1,-0.400000,0.000000,"0"
"1000",25,929,250,0,0,-0.400000,0.000000,"0"
"1000",26,929,250,0,0,-0.200000,0.000000,"0"
"1000",27,928,251,-1,1,-0.400000,0.200000,"0"
"1000",28,926,251,-2,0,-0.600000,0.000000,"0"
"1000",29,924,250,-2,-1,-1.000000,0.000000,"0"
"1000",30,923,251,-1,1,-1.200000,0.200000,"0"
"1000",31,923,251,0,0,-1.200000,0.200000,"0"
"1000",32,923,250,0,-1,-1.000000,-0.200000,"0"
"1000",33,923,250,0,0,-0.600000,-0.200000,"0"
"1000",34,922,251,-1,1,-0.400000,0.200000,"0"
"1000",35,922,251,0,0,-0.200000,0.000000,"0"
"1000",36,921,251,-1,0,-0.400000,0.000000,"0"
"1000",37,921,251,0,0,-0.400000,0.200000,"0"
"1000",38,921,251,0,0,-0.400000,0.200000,"0"
"1000",39,920,251,-1,0,-0.400000,0.000000,"0"
"1000",40,919,250,-1,-1,-0.600000,-0.200000,"0"
"1000",41,918,252,-1,2,-0.600000,0.200000,"0"
"1000",42,917,251,-1,-1,-0.800000,0.000000,"0"
"1000",43,917,251,0,0,-0.800000,0.000000,"0"
"1000",44,915,251,-2,0,-1.000000,0.000000,"0"
"1000",45,915,250,0,-1,-0.800000,0.000000,"0"
"1000",46,914,251,-1,1,-0.800000,-0.200000,"0"
"1000",47,913,251,-1,0,-0.800000,0.000000,"0"
"1000",48,912,250,-1,-1,-1.000000,-0.200000,"0"
"1000",49,911,251,-1,1,-0.800000,0.000000,"0"
"1000",50,911,251,0,0,-0.800000,0.200000,"0"
"1000",51,910,251,-1,0,-0.800000,0.000000,"0"
"1000",52,909,251,-1,0,-0.800000,0.000000,"0"
"1000",53,909,251,0,0,-0.600000,0.200000,"0"
"1000",54,908,251,-1,0,-0.600000,0.000000,"0"
"1000",55,908,251,0,0,-0.600000,0.000000,"0"
"1000",56,907,251,-1,0,-0.600000,0.000000,"0"
"1000",57,907,251,0,0,-0.400000,0.000000,"0"
"1000",58,905,251,-2,0,-0.800000,0.000000,"0"
"1000",59,904,251,-1,0,-0.800000,0.000000,"0"
"1000",60,903,251,-1,0,-1.000000,0.000000,"0"
"1000",61,900,251,-3,0,-1.400000,0.000000,"0"
"1000",62,899,251,-1,0,-1.600000,0.000000,"0"
"1000",63,898,251,-1,0,-1.400000,0.000000,"0"
"1000",64,898,251,0,0,-1.200000,0.000000,"0"
"1000",65,895,252,-3,1,-1.600000,0.200000,"0"
"1000",66,895,251,0,-1,-1.000000,0.000000,"0"
"1000",67,894,252,-1,1,-1.000000,0.200000,"0"
"1000",68,893,251,-1,-1,-1.000000,0.000000,"0"
"1000",69,892,252,-1,1,-1.200000,0.200000,"0"
"1000",70,892,251,0,-1,-0.600000,-0.200000,"0"
"1000",71,890,251,-2,0,-1.000000,0.000000,"0"
"1000",72,889,251,-1,0,-1.000000,-0.200000,"0"
"1000",73,886,252,-3,1,-1.400000,0.200000,"0"
"1000",74,884,252,-2,0,-1.600000,0.000000,"0"
"1000",75,879,252,-5,0,-2.600000,0.200000,"0"
"1000",76,878,252,-1,0,-2.400000,0.200000,"0"
"1000",77,872,252,-6,0,-3.400000,0.200000,"0"
"1000",78,872,252,0,0,-2.800000,0.000000,"0"
"1000",79,870,252,-2,0,-2.800000,0.000000,"0"
"1000",80,870,252,0,0,-1.800000,0.000000,"0"
"1000",81,870,252,0,0,-1.600000,0.000000,"0"
"1000",82,869,252,-1,0,-0.600000,0.000000,"0"
"1000",83,867,252,-2,0,-1.000000,0.000000,"0"
"1000",84,865,252,-2,0,-1.000000,0.000000,"0"
"1001",0,945,250,0,0,0.000000,0.000000,"0"
"1001",1,941,250,-4,0,0.000000,0.000000,"0"
"1001",2,941,250,0,0,0.000000,0.000000,"0"
"1001",3,941,250,0,0,0.000000,0.000000,"0"
"1001",4,940,250,-1,0,-1.000000,0.000000,"0"
"1001",5,939,250,-1,0,-1.200000,0.000000,"0"
"1001",6,938,250,-1,0,-0.600000,0.000000,"0"
"1001",7,937,250,-1,0,-0.800000,0.000000,"0"
"1001",8,934,250,-3,0,-1.400000,0.000000,"0"
"1001",9,934,250,0,0,-1.200000,0.000000,"0"
"1001",10,930,251,-4,1,-1.800000,0.200000,"0"
"1001",11,930,251,0,0,-1.600000,0.200000,"0"
"1001",12,930,251,0,0,-1.400000,0.200000,"0"
"1001",13,930,251,0,0,-0.800000,0.200000,"0"
"1001",14,930,250,0,-1,-0.800000,0.000000,"0"
"1001",15,929,251,-1,1,-0.200000,0.000000,"0"
"1001",16,929,251,0,0,-0.200000,0.000000,"0"
"1001",17,929,250,0,-1,-0.200000,-0.200000,"0"
"1001",18,928,251,-1,1,-0.400000,0.000000,"0"
"1001",19,928,250,0,-1,-0.400000,0.000000,"0"
"1001",20,927,251,-1,1,-0.400000,0.000000,"0"
"1001",21,927,251,0,0,-0.400000,0.000000,"0"
"1001",22,927,251,0,0,-0.400000,0.200000,"0"
"1001",23,927,251,0,0,-0.200000,0.000000,"0"
"1001",24,926,251,-1,0,-0.400000,0.200000,"0"
"1001",25,926,251,0,0,-0.200000,0.000000,"0"
"1001",26,926,250,0,-1,-0.200000,-0.200000,"0"
"1001",27,925,251,-1,1,-0.400000,0.000000,"0"
"1001",28,925,251,0,0,-0.400000,0.000000,"0"
"1001",29,924,251,-1,0,-0.400000,0.000000,"0"
"1001",30,923,251,-1,0,-0.600000,0.000000,"0"
"1001",31,922,251,-1,0,-0.800000,0.200000,"0"
"1001",32,922,251,0,0,-0.600000,0.000000,"0"
"1001",33,922,251,0,0,-0.600000,0.000000,"0"
"1001",34,921,250,-1,-1,-0.600000,-0.200000,"0"
"1001",35,919,251,-2,1,-0.800000,0.000000,"0"
"1001",36,919,251,0,0,-0.600000,0.000000,"0"
"1001",37,918,251,-1,0,-0.800000,0.000000,"0"
"1001",38,918,251,0,0,-0.800000,0.000000,"0"
"1001",39,917,251,-1,0,-0.800000,0.200000,"0"
"1001",40,916,251,-1,0,-0.600000,0.000000,"0"
"1001",41,914,251,-2,0,-1.000000,0.000000,"0"
"1001",42,913,251,-1,0,-1.000000,0.000000,"0"
"1001",43,913,251,0,0,-1.000000,0.000000,"0"
"1001",44,911,252,-2,1,-1.200000,0.200000,"0"
"1001",45,911,252,0,0,-1.000000,0.200000,"0"
"1001",46,908,251,-3,-1,-1.200000,0.000000,"0"
"1001",47,906,251,-2,0,-1.400000,0.000000,"0"
"1001",48,905,251,-1,0,-1.600000,0.000000,"0"
"1001",49,905,251,0,0,-1.200000,-0.200000,"0"
"1001",50,904,251,-1,0,-1.400000,-0.200000,"0"
"1001",51,900,252,-4,1,-1.600000,0.200000,"0"
"1001",52,900,251,0,-1,-1.200000,0.000000,"0"
"1001",53,895,251,-5,0,-2.000000,0.000000,"0"
"1001",54,894,251,-1,0,-2.200000,0.000000,"0"
"1001",55,891,251,-3,0,-2.600000,0.000000,"0"
